date,A036570_엔씨소프트,A078340_컴투스,A112040_위메이드,A181710_NHN,A192080_더블유게임즈,A194480_데브시스터즈,A251270_넷마블,A259960_크래프톤,A263750_펄어비스,A293490_카카오게임즈,close
2022-01-27,536000,129000,126600,33400,48550,67100,108000,264000,93200,65700,1141.78
2022-01-28,536000,120500,116400,34050,50000,69700,109500,274500,94200,65700,1154.61
2022-02-03,532000,123700,116200,35700,50900,68800,100000,275500,92500,66300,1127.51
2022-02-04,530000,127900,134200,36950,51500,69700,103500,288500,97800,73700,1166.75
2022-02-07,540000,133900,136400,38300,51900,71100,103000,305000,94100,73000,1181.18
2022-02-08,540000,133600,144400,38300,52300,69400,103000,299500,97000,77200,1186.49
2022-02-09,540000,132900,149900,37650,52100,71000,103000,297000,98700,74300,1182.78
2022-02-10,550000,121400,106600,36200,51300,68000,101000,297000,96100,69900,1166.73
2022-02-11,511000,122700,95800,35500,50700,67400,99700,259000,93800,70800,1110.78
2022-02-14,510000,107900,97000,34100,49200,62500,99700,267500,95000,69500,1107.67
2022-02-15,513000,110500,97000,33700,48300,60500,98600,281000,92700,68700,1111.83
2022-02-16,492500,113700,108700,34900,50300,62000,102000,277500,101000,71700,1126.05
2022-02-17,501000,111700,108200,34400,50400,60500,100500,273000,96100,70300,1113.65
2022-02-18,492500,112700,108400,36000,50800,61300,101000,274000,94600,70800,1111.83
2022-02-21,484000,111900,105500,35600,51100,59700,101500,273500,95600,71700,1109.8
2022-02-22,462500,108700,100600,34800,49500,57300,100500,273500,95200,70200,1088.49
2022-02-23,463500,110800,102500,34700,49600,58600,102500,286000,96000,72100,1109.69
2022-02-24,448500,107100,98900,33750,48100,56000,100000,285500,93700,69000,1080.92
2022-02-25,444000,108500,101900,35500,49300,57300,102500,284000,94700,72500,1093.57
2022-02-28,443500,109900,109100,35500,49500,56900,102500,295000,95100,73500,1104.15
2022-03-02,452000,115100,109200,37600,50300,57800,103000,298000,100600,75500,1126.77
2022-03-03,459500,115900,108600,37150,50800,58600,104500,298500,101600,75600,1137.92
2022-03-04,437000,111000,102200,35800,50300,57100,101500,282500,98500,72600,1092.7
2022-03-07,424500,107800,99800,35300,49850,54900,100000,271000,100700,70300,1069.69
2022-03-08,430500,107200,101400,34800,49800,54200,101500,273500,103600,71200,1083.24
2022-03-10,443500,116000,103400,36400,50600,57300,105000,295000,104500,74300,1128.21
2022-03-11,452000,114600,103700,37700,51000,57000,108000,285000,98500,74800,1127.97
2022-03-14,444500,113500,97900,36500,50200,54700,106000,281000,98000,73200,1107.68
2022-03-15,440000,109600,94200,35000,50300,53800,109500,277500,94500,73100,1104.29
2022-03-16,440000,115300,94900,35750,51000,55000,109000,281500,98300,75200,1114.54
2022-03-17,467000,118500,100300,36400,51700,58000,109000,284000,101700,78300,1144.58
